Week,Employee_ID,AHT,Schedule_Adherence,ACW,RONA,Evaluation_Completed,Efficiency,Compliance,Logging,Professionalism,Exceptions,Knowledge,Guidance,QS_Adoption_Score,Performance_Level,Needs_Coaching
12/9/2024,EMP001,34.92,88.16,2.05,0,TRUE,95,100,100,95,90,100,95,96.43,Exceeds,No
12/16/2024,EMP001,8.55,92.66,1.327,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/23/2024,EMP001,11.84,98.71,0.116,1,TRUE,100,90,100,100,95,100,100,97.86,Exceeds,No
1/1/2024,EMP002,7.5,89.97,1.149,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/8/2024,EMP002,7.97,98.56,1.307,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/15/2024,EMP002,11.93,93.54,1.319,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/22/2024,EMP002,18.34,92.91,1.234,1,TRUE,100,100,100,100,90,85,90,95,Exceeds,No
1/29/2024,EMP002,13.67,98.61,1.352,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/5/2024,EMP002,19.78,91.19,1.127,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/12/2024,EMP002,17.32,94.98,1.158,0,TRUE,100,100,100,100,100,100,95,99.29,Exceeds,No
2/19/2024,EMP002,7.52,87.21,1.319,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/26/2024,EMP002,27.14,85.27,2.5,1,TRUE,100,100,85,100,85,100,100,95.71,Exceeds,No
3/4/2024,EMP002,15.2,95.25,1.452,0,TRUE,95,95,90,100,100,100,85,95,Exceeds,No
3/11/2024,EMP002,15.43,96.41,1.157,1,TRUE,100,100,90,90,90,95,95,94.29,Exceeds,No
3/18/2024,EMP002,28.04,89.1,1.37,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/25/2024,EMP002,7.09,86.47,1.256,0,TRUE,95,100,95,95,90,100,100,96.43,Exceeds,No
4/1/2024,EMP002,17.18,95.53,2.37,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/8/2024,EMP002,15.38,92.74,1.406,0,TRUE,90,90,100,100,90,95,95,94.29,Exceeds,No
4/15/2024,EMP002,18.12,95.65,1.3,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/22/2024,EMP002,32.23,85.74,1.39,1,TRUE,100,90,85,85,100,95,100,93.57,Exceeds,No
4/29/2024,EMP002,13.07,96.38,1.302,0,TRUE,100,100,95,90,100,100,90,96.43,Exceeds,No
5/6/2024,EMP002,11.44,99.01,1.337,0,TRUE,85,90,85,90,95,100,100,92.14,Exceeds,No
5/13/2024,EMP002,9.11,90.15,1.404,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/20/2024,EMP002,19.8,91.24,1.343,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/27/2024,EMP002,15.02,88.16,1.346,2,TRUE,100,100,95,100,95,100,90,97.14,Exceeds,No
6/3/2024,EMP002,13.34,98.1,1.416,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/10/2024,EMP002,12.41,89.29,2.44,2,TRUE,100,90,100,85,100,100,100,96.43,Exceeds,No
6/17/2024,EMP002,13.59,96.14,1.251,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/24/2024,EMP002,13.95,97.76,1.331,1,TRUE,100,100,100,90,90,85,100,95,Exceeds,No
7/1/2024,EMP002,14.81,86.76,1.135,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/8/2024,EMP002,16.9,98.76,1.244,1,TRUE,100,95,100,95,95,95,100,97.14,Exceeds,No
7/15/2024,EMP002,13.46,90.44,1.265,0,TRUE,100,90,85,90,95,95,90,92.14,Exceeds,No
7/22/2024,EMP002,11.46,96.75,1.434,0,TRUE,95,33,100,95,100,100,95,88.29,Meets,Yes
7/29/2024,EMP002,8.12,93.18,1.305,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/5/2024,EMP002,18.7,96.85,1.392,2,TRUE,95,100,100,95,90,90,95,95,Exceeds,No
8/12/2024,EMP002,15.49,89.98,1.108,0,TRUE,100,100,95,85,95,100,90,95,Exceeds,No
8/19/2024,EMP002,19.68,99.4,1.286,1,TRUE,100,95,100,100,100,100,95,98.57,Exceeds,No
8/26/2024,EMP002,8.51,86.54,1.461,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/2/2024,EMP002,7.83,87.84,1.19,1,TRUE,95,95,100,100,100,95,95,97.14,Exceeds,No
9/9/2024,EMP002,12.74,91.37,1.113,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/16/2024,EMP002,17.25,90.98,1.273,0,TRUE,100,85,90,33,95,90,90,83.29,Meets,Yes
9/23/2024,EMP002,15.83,89.04,1.382,0,TRUE,100,95,85,100,100,95,100,96.43,Exceeds,No
9/30/2024,EMP002,16.44,86.12,2.25,0,TRUE,100,100,100,95,90,90,100,96.43,Exceeds,No
10/7/2024,EMP002,17.8,99.71,1.284,2,TRUE,90,90,95,85,95,95,90,91.43,Exceeds,No
10/14/2024,EMP002,17.53,95.41,1.368,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/21/2024,EMP002,11.39,93.61,1.202,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/28/2024,EMP002,18.22,91.64,1.401,1,TRUE,100,70,100,85,95,100,95,92.14,Exceeds,No
11/4/2024,EMP002,15.79,90.26,1.161,0,TRUE,95,100,85,95,95,100,100,95.71,Exceeds,No
11/11/2024,EMP002,14.53,90.22,1.258,2,TRUE,100,95,90,95,95,100,70,92.14,Exceeds,No
11/18/2024,EMP002,15.84,94.08,1.362,1,TRUE,95,85,100,90,85,100,100,93.57,Exceeds,No
11/25/2024,EMP002,16.51,86.16,1.431,2,TRUE,90,90,100,100,100,100,90,95.71,Exceeds,No
12/2/2024,EMP002,12.35,91.29,3.44,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/9/2024,EMP002,14.76,87.39,1.389,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/16/2024,EMP002,14.02,91.48,1.244,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/23/2024,EMP002,14.15,97.04,1.149,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/1/2024,EMP003,21.37,95.09,1.187,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/8/2024,EMP003,7.48,89.96,1.446,0,TRUE,95,90,100,85,95,100,90,93.57,Exceeds,No
1/15/2024,EMP003,12.46,85.3,1.443,2,TRUE,95,90,90,100,100,95,95,95,Exceeds,No
1/22/2024,EMP003,8.12,94.85,0.476,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/29/2024,EMP003,19.05,87.19,1.13,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/5/2024,EMP003,12.85,93.25,1.315,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/12/2024,EMP003,14.75,87.73,1.359,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/19/2024,EMP003,13.8,92.92,1.384,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/26/2024,EMP003,18.09,94.11,1.358,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/4/2024,EMP003,11.45,90.75,1.408,1,TRUE,100,85,95,100,90,95,90,93.57,Exceeds,No
3/11/2024,EMP003,7.59,94.43,1.244,2,TRUE,95,90,100,85,95,90,50,86.43,Meets,Yes
3/18/2024,EMP003,12.9,93.63,1.172,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/25/2024,EMP003,19.94,86.9,1.182,1,TRUE,100,85,90,95,95,50,85,85.71,Meets,Yes
4/1/2024,EMP003,16.14,99.62,1.105,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/8/2024,EMP003,12.25,95.49,1.24,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/15/2024,EMP003,13.45,89.55,1.137,2,TRUE,90,95,100,90,100,85,95,93.57,Exceeds,No
4/22/2024,EMP003,12.51,93.44,1.229,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/29/2024,EMP003,12.12,86.66,1.351,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/6/2024,EMP003,18.17,87.8,0.448,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/13/2024,EMP003,27.44,89.85,1.436,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/20/2024,EMP003,16.68,99.79,1.201,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/27/2024,EMP003,13.98,90.57,1.154,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/3/2024,EMP003,8.66,95.11,1.177,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/10/2024,EMP003,7.77,86.71,1.488,2,TRUE,100,90,85,100,100,95,95,95,Exceeds,No
6/17/2024,EMP003,13.77,85.43,1.32,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/24/2024,EMP003,16.87,92.01,1.173,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/1/2024,EMP003,12.35,89.73,1.436,1,TRUE,100,95,100,100,85,95,85,94.29,Exceeds,No
7/8/2024,EMP003,16.55,93.52,1.258,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/15/2024,EMP003,18.67,93.06,1.46,1,TRUE,100,85,90,85,85,100,95,91.43,Exceeds,No
7/22/2024,EMP003,12.08,94.55,0.138,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/29/2024,EMP003,19.08,87.11,1.257,1,TRUE,33,95,95,100,85,90,100,85.43,Meets,Yes
8/5/2024,EMP003,7.24,96.54,1.302,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/12/2024,EMP003,14.14,97.49,1.457,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/19/2024,EMP003,16.49,95.5,1.448,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/26/2024,EMP003,16.03,95.24,1.33,2,TRUE,90,100,85,95,90,100,90,92.86,Exceeds,No
9/2/2024,EMP003,11.87,99.17,1.189,0,TRUE,33,100,95,95,95,100,95,87.57,Meets,Yes
9/9/2024,EMP003,18.19,90.29,1.261,1,TRUE,95,85,100,95,100,95,90,94.29,Exceeds,No
9/16/2024,EMP003,9.92,98.98,1.49,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/23/2024,EMP003,12.63,93.8,1.343,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/30/2024,EMP003,19.06,86.41,1.412,2,TRUE,85,95,90,100,90,100,100,94.29,Exceeds,No
10/7/2024,EMP003,8.67,90.21,1.28,1,TRUE,95,100,100,100,85,100,100,97.14,Exceeds,No
10/14/2024,EMP003,9.81,91.88,1.313,1,TRUE,90,85,85,100,95,100,90,92.14,Exceeds,No
10/21/2024,EMP003,7.53,85.92,1.272,1,TRUE,95,100,100,95,95,100,95,97.14,Exceeds,No
10/28/2024,EMP003,18.13,86.48,1.381,1,TRUE,100,90,50,100,100,90,95,89.29,Meets,Yes
11/4/2024,EMP003,11.54,88.5,1.441,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/11/2024,EMP003,9.65,87.2,1.303,1,TRUE,100,85,95,70,95,100,95,91.43,Exceeds,No
11/18/2024,EMP003,9.02,97.2,1.292,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/25/2024,EMP003,14.33,97.97,1.236,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/2/2024,EMP003,12.71,90.83,0.097,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/9/2024,EMP003,18.35,92.33,1.476,1,TRUE,70,85,100,90,100,90,100,90.71,Exceeds,No
12/16/2024,EMP003,8.81,99.71,1.226,0,TRUE,90,100,100,100,95,95,100,97.14,Exceeds,No
12/23/2024,EMP003,14.24,93.98,1.42,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/1/2024,EMP004,8.33,95.57,1.386,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/8/2024,EMP004,18.44,93.91,1.416,1,TRUE,95,85,95,95,90,100,85,92.14,Exceeds,No
1/15/2024,EMP004,8.02,96.43,1.475,1,TRUE,100,85,100,100,95,85,95,94.29,Exceeds,No
1/22/2024,EMP004,7.27,97.56,1.349,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/29/2024,EMP004,9.73,88.13,1.459,0,TRUE,100,90,100,95,90,90,95,94.29,Exceeds,No
2/5/2024,EMP004,14.49,91.61,1.167,0,TRUE,100,95,95,100,100,100,100,98.57,Exceeds,No
2/12/2024,EMP004,14.14,92.7,1.351,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/19/2024,EMP004,7.61,91.44,0.388,2,TRUE,100,85,100,100,100,95,90,95.71,Exceeds,No
2/26/2024,EMP004,19.08,89.5,1.209,2,TRUE,95,95,100,100,100,100,95,97.86,Exceeds,No
3/4/2024,EMP004,7.65,89.16,1.396,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/11/2024,EMP004,8.91,88.38,1.411,1,TRUE,100,100,100,95,100,100,90,97.86,Exceeds,No
3/18/2024,EMP004,18.93,90.38,1.432,1,TRUE,90,100,100,95,95,100,85,95,Exceeds,No
3/25/2024,EMP004,11.31,90.79,1.225,2,TRUE,90,95,90,85,95,85,100,91.43,Exceeds,No
4/1/2024,EMP004,18.46,95.48,1.373,2,TRUE,95,85,100,50,100,100,100,90,Meets,Yes
4/8/2024,EMP004,14.7,92.34,1.222,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/15/2024,EMP004,16.92,98.4,0.372,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/22/2024,EMP004,8.12,95.01,1.285,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/29/2024,EMP004,17.26,86.05,1.339,0,TRUE,100,100,85,95,95,95,100,95.71,Exceeds,No
5/6/2024,EMP004,13.29,88.68,1.266,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/13/2024,EMP004,11.2,97.2,1.165,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/20/2024,EMP004,9.84,95.57,1.171,2,TRUE,90,85,85,85,100,90,95,90,Meets,Yes
5/27/2024,EMP004,20.25,86.26,1.131,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/3/2024,EMP004,9.47,94.8,1.347,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/10/2024,EMP004,12.52,88.07,1.439,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/17/2024,EMP004,14.53,90.93,1.108,1,TRUE,100,95,85,95,95,95,95,94.29,Exceeds,No
6/24/2024,EMP004,18.4,96.64,1.126,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/1/2024,EMP004,12.85,85.73,1.283,0,TRUE,100,95,95,100,100,100,100,98.57,Exceeds,No
7/8/2024,EMP004,18.79,99.8,1.395,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/15/2024,EMP004,15.48,90.57,1.163,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/22/2024,EMP004,14.3,87.07,1.209,1,TRUE,100,85,95,100,100,100,90,95.71,Exceeds,No
7/29/2024,EMP004,16.96,99.42,1.193,2,TRUE,100,90,100,95,100,95,95,96.43,Exceeds,No
8/5/2024,EMP004,14.07,90.59,1.26,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/12/2024,EMP004,14.13,87.74,1.19,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/19/2024,EMP004,9.2,87.8,1.241,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/26/2024,EMP004,13.79,91.85,1.391,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/2/2024,EMP004,12.81,86.41,1.344,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/9/2024,EMP004,32.11,89.93,0.05,0,TRUE,95,100,95,90,95,95,95,95,Exceeds,No
9/16/2024,EMP004,18.25,86.13,1.355,2,TRUE,95,90,95,95,90,100,100,95,Exceeds,No
9/23/2024,EMP004,15.48,96.54,1.291,0,TRUE,85,85,95,95,95,100,90,92.14,Exceeds,No
9/30/2024,EMP004,15.74,96.41,2.2,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/7/2024,EMP004,9.09,97.38,1.216,0,TRUE,90,33,95,100,90,100,100,86.86,Meets,Yes
10/14/2024,EMP004,15.58,92.39,1.39,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
10/21/2024,EMP004,8.25,93.27,1.392,0,TRUE,100,100,95,100,100,85,90,95.71,Exceeds,No
10/28/2024,EMP004,34.92,93.95,5.5,1,TRUE,95,90,85,100,85,90,90,90.71,Exceeds,No
11/4/2024,EMP004,12.33,96.63,1.461,2,TRUE,85,95,90,90,85,95,85,89.29,Meets,Yes
11/11/2024,EMP004,8.78,85.16,1.296,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
11/18/2024,EMP004,18.97,86.75,1.372,1,TRUE,90,95,85,100,95,100,100,95,Exceeds,No
11/25/2024,EMP004,17.18,88.64,1.158,1,TRUE,90,100,95,100,85,95,95,94.29,Exceeds,No
12/2/2024,EMP004,9.64,98.48,1.203,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/9/2024,EMP004,8.01,88.93,6.05,0,TRUE,100,90,95,100,95,95,90,95,Exceeds,No
12/16/2024,EMP004,13.45,86.18,1.228,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
12/23/2024,EMP004,18.66,95.89,1.3,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/1/2024,EMP005,14.55,91.65,1.25,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/8/2024,EMP005,17.39,86.24,1.356,1,TRUE,100,95,95,85,90,100,95,94.29,Exceeds,No
1/15/2024,EMP005,12.33,93.35,1.295,0,TRUE,95,100,100,85,85,100,100,95,Exceeds,No
1/22/2024,EMP005,9.27,92.39,1.102,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
1/29/2024,EMP005,15.94,85.13,2.2,1,TRUE,85,100,100,100,33,90,100,86.86,Meets,Yes
2/5/2024,EMP005,13.42,86.32,1.269,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
2/12/2024,EMP005,15.45,95.79,1.237,1,TRUE,100,95,95,85,95,100,90,94.29,Exceeds,No
2/19/2024,EMP005,17.27,90.1,1.138,1,TRUE,100,90,100,95,100,100,100,97.86,Exceeds,No
2/26/2024,EMP005,11.11,87.18,1.188,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/4/2024,EMP005,16.74,91,1.19,2,TRUE,100,85,95,90,95,90,100,93.57,Exceeds,No
3/11/2024,EMP005,8.62,93.16,1.474,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/18/2024,EMP005,12.98,99.57,0.222,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
3/25/2024,EMP005,17.78,87.93,2.18,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/1/2024,EMP005,13.73,96.55,1.156,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/8/2024,EMP005,13.49,93.78,1.132,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
4/15/2024,EMP005,15.24,99.9,1.336,2,TRUE,95,50,95,95,85,90,85,85,Meets,Yes
4/22/2024,EMP005,9.03,95.37,1.175,2,TRUE,100,100,95,100,90,100,100,97.86,Exceeds,No
4/29/2024,EMP005,19.36,98.22,1.299,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/6/2024,EMP005,12.27,85.72,1.248,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/13/2024,EMP005,14.57,86.58,1.422,1,TRUE,100,100,90,95,85,100,100,95.71,Exceeds,No
5/20/2024,EMP005,11.6,90.33,1.228,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
5/27/2024,EMP005,17.83,94.25,1.283,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/3/2024,EMP005,15.03,99.22,3.5,0,TRUE,100,90,85,90,100,95,95,93.57,Exceeds,No
6/10/2024,EMP005,17.36,96.27,1.273,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
6/17/2024,EMP005,13.9,95.34,0.399,1,TRUE,100,95,100,100,95,95,95,97.14,Exceeds,No
6/24/2024,EMP005,18.6,87.7,1.365,2,TRUE,95,100,100,95,100,90,85,95,Exceeds,No
7/1/2024,EMP005,15.81,97.88,1.264,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/8/2024,EMP005,19.49,98.65,1.302,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/15/2024,EMP005,11.71,90.62,1.487,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/22/2024,EMP005,8.54,92.72,1.365,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
7/29/2024,EMP005,17.9,95.52,1.462,0,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/5/2024,EMP005,16.4,87.14,1.172,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/12/2024,EMP005,11.21,94.57,0.247,1,TRUE,85,85,100,100,100,100,100,95.71,Exceeds,No
8/19/2024,EMP005,19.75,94.68,1.463,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
8/26/2024,EMP005,13.68,94.81,1.229,1,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/2/2024,EMP005,13.24,97.7,1.487,0,TRUE,95,100,95,100,90,100,100,97.14,Exceeds,No
9/9/2024,EMP005,15.37,95.2,1.139,2,TRUE,100,100,100,95,100,85,100,97.14,Exceeds,No
9/16/2024,EMP005,15.88,93.48,0.452,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
9/23/2024,EMP005,17.9,93.27,1.278,2,FALSE,,,,,,,,,Not Evaluated,Not Evaluated
